time,Adult_Susceptible,Adult_Exposed,Adult_Infected,Adult_Hospitalizations,Adult_Critical,Adult_Recovered,Adult_Dead,Adult_New_Incidence,Adult_New_Hospitalization,Adult_New_Critical,Elderly_Susceptible,Elderly_Exposed,Elderly_Infected,Elderly_Hospitalizations,Elderly_Critical,Elderly_Recovered,Elderly_Dead,Elderly_New_Incidence,Elderly_New_Hospitalization,Elderly_New_Critical,Pediatric_Susceptible,Pediatric_Exposed,Pediatric_Infected,Pediatric_Hospitalizations,Pediatric_Critical,Pediatric_Recovered,Pediatric_Dead,Pediatric_New_Incidence,Pediatric_New_Hospitalization,Pediatric_New_Critical,Total_Susceptible,Total_Exposed,Total_Infected,Total_Hospitalizations,Total_Critical,Total_Recovered,Total_Dead,Total_New_Incidence,Total_New_Hospitalization,Total_New_Critical,Population
31,1625749.164653493,64.32625019106584,34.12325795169571,0.2620609174801959,0.030481821485013282,51.141535973577064,0.003739651785369268,62.88732650708919,0.6055904607123985,0.04863437467747642,297921.78983058507,3.703797923455721,2.180646218434546,0.07425953575843806,0.01436868846103652,2.78542760945435,0.003999439418749178,8.762499414982841,0.15424213118550203,0.0210842608820867,2215650.016380712,14.811924876036235,8.916772484024392,5.541305681300502e-4,2.1140384187358902e-5,12.359025630176152,1.0267729786412587e-6,36.08829928796208,0.0011822928476054797,3.140811397377148e-5,4139320.97086479,82.84197299055779,45.22067665415465,0.336874583806764,0.04487165033023716,66.28598921320757,0.007740117977097088,107.73812521003411,0.761014884745506,0.06975004367353689,4139515.70899
32,1910852.5628046168,81.09313624438416,41.03361602312511,0.3175987234313652,0.03657513588625237,61.89133095273335,0.0045983038334385,76.37685538339365,0.7333892697377435,0.058906081085491675,346890.37958530005,4.556997093776055,2.6727987280891408,0.09118364210250969,0.017926317547095772,3.454651872435249,0.005197046051984157,10.798754700002037,0.19177383996644165,0.02665274479193354,2587092.720453107,18.122993594526132,10.817543963943047,6.668672415750587e-4,2.582206371157614e-5,15.168525325831848,1.3194310796682946e-6,44.10975689303743,0.00144719473174024,3.901637450825911e-5,4844835.662843023,103.77312693268634,54.5239587151573,0.40944923277545,0.05452727549705973,80.51450815100044,0.009796669316502325,131.28536697643312,0.9266103044359254,0.08559784225193347,4845074.94821
33,2117126.556022269,87.45784496238846,50.19753898590867,0.38516481814502446,0.043995081670679496,74.94866416772457,0.005629715025904997,93.03883773086328,0.8885183735228357,0.07134632243913469,383932.4486054785,5.548410287331647,3.2730296603727482,0.11194850655596125,0.02229372510055432,4.2747837152845065,0.0066886268656876505,13.237154521511107,0.23784236619811744,0.03352457870209043,2859078.0310886377,22.142811873057486,13.161902003969807,8.042003008889004e-4,3.1420552665272915e-5,18.58265018850912,1.6761386298916178e-6,53.88820136252864,0.0017678390801726814,4.8181938964189114e-5,5360137.035716386,115.1490671227776,66.63247065025122,0.4979175250018746,0.0663202273238991,97.80609807151819,0.012320018030222538,160.16419361490304,1.128128578801126,0.10491908308018931,5360417.19991
34,2441298.845465089,101.37005978821705,58.73852538250205,0.46382740628957553,0.052987169057703565,90.51448375814974,0.006871406633788935,112.14675491084986,1.0731240226591916,0.08638254339286178,453578.08377159387,6.573534050485046,3.9748824283099893,0.1371699275197086,0.027648730652574696,5.275582291829787,0.008540977326093114,15.997358406123201,0.29410645274008446,0.04198972394991781,3322414.475218216,26.460335351750786,15.961806130180113,9.712852606908614e-4,3.81490305972165e-5,22.732708758318392,2.109648737444343e-6,65.15586178418936,0.002156195620124059,5.9245517971659954e-5,6217291.404454899,134.40392919045289,78.67521394099215,0.601968619069975,0.08067404874087548,118.52277480829792,0.015414493608619493,193.29997510116243,1.3693866710194,0.12843151286075125,6217623.70443
35,2837936.2987578684,112.68973918738241,68.52939416880186,0.5524637392622883,0.0636913138307633,108.6997478150846,0.00836590742629251,134.54340213178818,1.2885764828185742,0.10436043164856584,532295.5315594892,7.77825830762221,4.7808800220578584,0.16722233913516968,0.0341773462892284,6.48482794099715,0.010834554729307581,19.256200510830926,0.362102294316369,0.05236927137049617,3876105.324414399,31.452105156061062,19.22736508411499,0.0011719954370874861,4.6248184996259504e-5,27.747804481513754,2.6355723872291246e-6,78.42849560088432,0.0026240736144585,7.260390886855077e-5,7246337.154731757,151.9201026510657,92.53763927497471,0.7208580738345455,0.09791490830498796,142.9323802375955,0.01920309772798732,232.22809824350344,1.6533028507494019,0.15680230692793057,7246725.38283
36,3286516.499378916,130.04900929740307,78.70225012627525,0.6513186001565651,0.07624807285612716,129.7268856903454,0.010159297368809526,160.21587108440522,1.5377063160586812,0.12564334973713812,629938.9404023311,9.133138175009513,5.705856119301239,0.20259191556978526,0.04207020697378565,7.933927475572638,0.01366377653020315,23.031247668957167,0.44358182051887407,0.06501237277644373,4525877.446037422,37.01206091170356,22.99650471133735,0.0014101939655884286,5.5975153047593017e-5,33.767377513129624,3.2726344621398562e-6,93.77741257792367,0.003184223918968259,8.87014976689916e-5,8442332.88581867,176.19420838411617,107.40461095691384,0.8553207096919387,0.1183742549829604,171.42819067904767,0.023826346533474815,277.024531331286,1.9844723604965238,0.19074442401125083,8442788.91035
37,3718677.8644282073,145.6531717526598,90.55297424945726,0.7616337980992806,0.09079186205268962,153.90293902610819,0.012301104466299525,189.97381179284346,1.8243805328045384,0.15060538251578923,723317.3501677094,10.763494104930185,6.774241395937015,0.24389759419126936,0.05153207339443944,9.658749413570964,0.017137708603929595,27.509052290627803,0.5405655528664887,0.08030689907750424,5147165.919698493,43.46032906838131,27.32726772101271,0.0016897793015581847,6.7602059333346e-5,40.94182329354523,4.042866585881558e-6,111.73118150716677,0.003850393805401415,1.080307251921616e-4,9589161.13429441,199.8769949259713,124.65448336640699,1.0072211715921082,0.14239153750646238,204.50351173322437,0.029442855936815004,329.214045590638,2.3687964794764285,0.2310203123184856,9589691.34834
38,4067708.260589554,155.06316322148174,103.30529599258314,0.884689480897912,0.1075067685127014,181.58588007982678,0.014844903073312416,223.96138044637556,2.1529695429590965,0.17969034632249592,806146.9135855604,12.587935057063046,8.008011952798356,0.292025828273936,0.06279679138218477,11.702873128868083,0.02138168126189626,32.6750244396475,0.6555326380089673,0.09869711163225123,5680841.307351661,50.66075515257293,32.282984502418614,0.0020154124643976708,8.141959609925432e-5,49.44204688047996,4.971818199205878e-6,132.38788833935024,0.004638168026223932,1.3113777809131314e-4,10554696.481526775,218.31185343111773,143.5962924478001,1.1787307216362457,0.1703849794909854,242.7308000891748,0.03623155615340788,389.0242932253733,2.8131403489942874,0.2785185957328385,10555302.50582
39,4374798.022712293,162.9098788850057,115.41735203647791,1.0178602978931193,0.12653571674679848,212.7938221528749,0.01784861840954081,262.283297707408,2.5237953641581594,0.2133225133287873,880162.875548366,14.615311969233225,9.415265344899433,0.34784419074484063,0.07613302363115493,14.113407435786035,0.026539669777586553,38.594501634072266,0.7911653706827183,0.12069338806601254,6146531.176697304,58.63218167460724,37.8972947083479,0.0023916817136381057,9.773912447509517e-5,59.451440803952636,6.088788052279293e-6,155.98341269653397,0.005564221813595865,1.5862700499788803e-4,11401492.074957963,236.15737252884614,162.72991208972525,1.368096170351598,0.2027664795024285,286.35867039261353,0.044394376975179645,456.86121203801423,3.3205249566544737,0.3341745283997977,11402178.93617
40,4621089.904711501,171.09421489321917,126.64894447817008,1.1566968876632184,0.14787516251093769,247.31298507913579,0.02137199926113748,304.3820884999604,2.934377841565821,0.25178904236935856,940064.325330133,16.672409122450293,10.980265898940923,0.4120334460716117,0.09183535910090189,16.93759924438015,0.03277679615515105,45.12691986709901,0.9501611135472214,0.1468675288359256,6522590.372892067,66.8859917106156,44.13391877690224,0.0028222771279345356,1.1688570441200676e-4,71.1560608559274,7.427078104151486e-6,182.1789179333557,0.006645406837004965,1.9115648545352156e-4,12083744.6029337,254.65261572628506,181.76312915401326,1.5715526108627649,0.23982740731625157,335.40664517944333,0.05415622249439268,531.6879263004151,3.8911843619500477,0.39884772769073773,12084518.29086
41,5166272.322049573,196.55469438270524,137.2941219677837,1.2978427771540864,0.17138631929836995,284.93975222046214,0.02547276051465982,350.28327042791824,3.382317516610627,0.2952323888675871,1069091.628697899,18.78860724181721,12.67504110901336,0.4847496123058722,0.110196095034781,20.215497777282877,0.04028026554590474,52.31437210099999,1.134798231476668,0.17782610812048652,7336922.656960038,75.42456395752737,50.90853387001792,0.003308347050113812,1.3917493820837283e-4,84.72108558892681,9.024028782391859e-6,211.05763996248922,0.007896651570759637,2.2941522603229134e-4,13572286.60770751,290.7678655820498,200.87769694681498,1.7859007365100723,0.2817215892713593,389.8763355866718,0.06576205008934695,613.6552824914074,4.525012399658055,0.47328791221410593,13573170.26299
42,5525117.058828392,217.64533296131563,151.4261309208221,1.4459691937154322,0.1969419877631377,326.12946205404216,0.03020449091748482,401.87404160857596,3.8731856164268015,0.34378685515409285,1155048.1641118042,21.268822959046332,14.522636818748596,0.5660271655544741,0.1314789451623861,23.985054291839827,0.04925801551789186,60.523278195869494,1.3472391372681323,0.21418191192519545,7884457.932311372,85.11549685116341,58.27203364891492,0.003850019557804992,1.6488876414395137e-4,100.30194229887927,1.0920722553742655e-5,243.69349862800212,0.009331939351432547,2.7409598968137784e-4,14564623.155251568,324.0296527715254,224.2208013884856,2.0158463788277112,0.32858582168966777,450.4164586447613,0.07947342715793042,706.0908184324476,5.229756693046366,0.5582428630689696,14565624.24607
43,5989951.097473382,236.51485572991336,167.25055095436798,1.6071084975967804,0.2246652928723206,371.5957154895748,0.03562065470505096,459.22851661903036,4.415670791466383,0.3978367850684878,1268888.164173174,24.051318868791697,16.56735981227406,0.6565050786027251,0.15594359024268312,28.29586229814341,0.0599371779408517,69.78692682599541,1.5903316033779245,0.2565759041116865,8608862.750165734,95.82148931056693,66.34659465870885,0.004450044047732688,1.942921969893215e-4,118.08611279891343,1.3161621161884736e-5,280.2588542660551,0.010968212219896061,3.2590840860816876e-4,15867702.01181229,356.38766390927196,250.16450542535088,2.268063620247238,0.38080317531199304,517.9776905866316,0.09557099426706454,809.2742977110809,6.016970607064204,0.6547385975887825,15868829.28611
44,6157477.456850116,246.81487181931894,183.8841618228662,1.7821235522428458,0.2547660975822602,421.68441724146396,0.041779351150640846,522.4621198846249,5.0140622234795815,0.45787613053086645,1309487.3862262499,27.096633690316878,18.83005998151105,0.7571284348779611,0.18388079725370599,33.206145577605895,0.07256526849707104,80.14641375006255,1.8674367896798636,0.3057143389894485,8866266.5993222,107.45200479172162,75.19587711185643,0.00511250448671137,2.2766149539473098e-4,138.28688993619232,1.579455266635689e-5,320.94012780030516,0.012824644927877365,3.8560702205829984e-4,16333231.442398565,381.36351030135745,277.91009891623366,2.544364491607518,0.4388745563313609,593.1774527552623,0.11436041420037825,923.5486614349926,6.894323658087322,0.7639760765423733,16334486.99106
45,6297264.076347703,252.0803086790588,199.20787893373617,1.9668232103704706,0.28738051675732884,476.30337745939613,0.04874349833916404,590.8945122976581,5.667249348404878,0.5243487860733107,1343850.0132457416,30.193523643093158,21.293658410229177,0.8687126950950388,0.21561694868967501,38.77569949200021,0.08741306939525868,91.43462425850251,2.1820204674096786,0.3623781253845659,9087815.638762772,119.4476019616265,84.78353576399905,0.005840883905199348,2.652873743475738e-4,161.12418446087747,1.8870937978108342e-5,365.3614472287206,0.01492081898777249,4.5399675412865717e-4,16728929.728356216,401.7214342837785,305.2850731079644,2.8413767893707087,0.5032627528213515,676.2032614122738,0.13617543867240084,1047.6905837848813,7.86419063480233,0.8871809082120052,16730316.41894
46,6490689.5632241685,270.5589916840232,212.85618216656124,2.154108645056831,0.32241818235642394,535.0015986065306,0.05657654780097918,667.9498758323294,6.369652544970512,0.5974748811512584,1389781.880815112,33.77023206626525,23.976503233166923,0.9917091545442956,0.2514845798716011,45.06059033402996,0.10477552015822023,104.15529488803625,2.5373223756127277,0.42739485491994433,9390597.789810237,133.73472625475097,95.26683585720457,0.006638157160109701,3.0745794114102646e-4,186.8190295914516,2.2445710970845872e-5,415.82755976421936,0.017276458177099403,5.319150508494851e-4,17271069.233849518,438.06395000503943,332.09952125693275,3.1524559567612362,0.5742102201691661,766.8812185320121,0.16137451367017025,1187.9327304845851,8.924251378760339,1.025401651122052,17272610.16658
47,6644251.314574957,292.1799078618656,227.85176288689692,2.343628962750885,0.3596467189271023,597.7878511842101,0.06533742953507936,751.5881350441858,7.121305940380067,0.6773104908623495,1425821.8754861944,37.45108658138402,26.894110025644967,1.1269559548091774,0.291825929039476,52.126872216567676,0.12497309809349276,118.01582380553882,2.937140450132713,0.5016446674563413,9633255.44185557,148.57192668716198,106.76432161883957,0.007511849464024162,3.5449312827100194e-4,215.65706320465307,2.6577652580718904e-5,471.0012044308996,0.019917242545587976,6.202696540781908e-4,17703328.63191672,478.2029211304116,361.51019453138144,3.4780967670240868,0.6518271410948493,865.5717866054309,0.19033710528115283,1340.6051632806243,10.078363633058368,1.179575427972769,17705038.23708
48,6736320.530427164,308.73156310918375,244.61087354055093,2.5396892810858773,0.398956626050764,665.1065299433392,0.07508033582384652,842.4626928360345,7.927604856839844,0.7640113602193762,1447408.5883405758,41.329978762963606,30.02659893464097,1.2748907499501296,0.33698834571787306,60.03687060578467,0.14835202509787596,133.15367942415514,3.385038606611479,0.5860560075604178,9775766.746580837,164.1956102000568,119.19206965697194,0.008466855886881215,4.067521107776659e-4,247.91385436882325,3.132980359731815e-5,531.3104391636533,0.02286785882189816,7.200501467508472e-4,17959495.865348577,514.2571520722041,393.82954213216385,3.823046886922888,0.7363517238794147,973.0572549179471,0.2234636907253198,1506.926811423843,11.335511322273222,1.3507874179265449,17961381.79216
49,6815680.090685913,324.2820422963353,261.5827435396026,2.743516519426335,0.4403594831260238,737.22095373887,0.0858585103525952,940.355474087713,8.791683401753449,0.8578495792552723,1465501.6216444215,45.2793737295216,33.352856465061336,1.4356387121396461,0.38729685740498154,68.84886614575336,0.17528366876215962,149.4793155786431,3.8843374502195522,0.6815771883186099,9901586.513013259,180.31103295544534,132.47597849277795,0.00950542262133549,4.645924306558272e-4,283.8461085091373,3.676971494569789e-5,596.6431267421276,0.02615121422359161,8.32289580112806e-4,18182768.225343592,549.8724489813022,427.4115784974419,4.188660654187316,0.8281209329616612,1089.9159283937606,0.2611789488297005,1686.4779164084837,12.702172066196594,1.540259057153995,18184840.70326
50,6881917.697262982,344.11707567048603,278.50506143125847,2.9535023487170786,0.4838426360409377,814.1521895287606,0.09772540374861549,1045.3093970190118,9.713684980213486,0.9590738780312816,1481629.4000567663,49.28038857963493,36.83971120280824,1.6088603314246577,0.44302994362642834,78.61305113303683,0.2061620431019782,166.99120323363306,4.437867760906146,0.7891479729797213,10005377.90228425,196.85350562662433,146.51703788126787,0.01062717099356704,5.283402422570634e-4,323.6840437618694,4.2969237797543295e-5,667.0657857502354,0.029787823398216964,9.580326202324963e-4,18368924.999603998,590.2509698767453,461.8618105153346,4.572989851135303,0.927400919909623,1216.4492844236668,0.3039304160883912,1879.3663860028803,14.18134056451785,1.7491798836312356,18371199.36599
51,6939107.477549845,361.6961930826943,296.3796615679118,3.1697798567146167,0.529358712351063,896.0396133223136,0.11073361378067344,1157.9253401557662,10.695225775639807,1.0678939333691067,1495684.2268280492,53.43710258105794,40.47387502628177,1.793929410439533,0.5043951249348642,89.37264041831183,0.24139938972699226,185.82334195075293,5.048044140465902,0.9096677505993955,10095668.333332296,214.04401121987854,161.26199250442355,0.011830017094180717,5.982668281472721e-4,367.6346056918885,5.000397900829618e-5,742.953087704092,0.03379614945878539,0.0010983066182302338,18530460.03771019,629.1773068836308,498.1155290986171,4.97553928424833,1.0343521041140744,1353.0468594325139,0.35218300748667397,2086.701769810611,15.777066065564496,1.9786599905867326,18532946.73948
52,6958365.433299699,381.5660326357602,314.4845544428273,3.392559349065705,0.5768884655524307,983.0432605119586,0.12493489654930034,1278.1882303017137,11.738169508092986,1.1845432585026414,1500190.4092515868,57.682733901918155,44.248565776521474,1.9902755778791925,0.5715321483728801,101.16915026777207,0.2814207408747372,205.94367841333852,5.717186845035794,1.0439895992556467,10126226.493129676,231.73042238722616,176.67709490032976,0.013111597938113362,6.745854485598931e-4,415.8948289001898,5.79525579454146e-5,824.3161903236904,0.03819381849839414,0.001254111028014039,18584782.33568096,670.9791889249045,535.4102151196786,5.395946524883011,1.1490951993738707,1500.1072396799204,0.40641358998198296,2308.4480990387424,17.493550171627174,2.229786968786302,18587495.78378
53,6973854.73172693,400.514237808993,333.30196286676636,3.6218592649538945,0.6264061788065768,1075.302516455111,0.14038049666070035,1406.5073630712916,12.844127361004817,1.3092462107454228,1504332.1678531093,62.05506749438695,48.15595005492081,2.1973123468023488,0.6445223321381378,114.041375293503,0.32665936899760295,227.42088689074885,6.447454879350805,1.1929219954967019,10151781.18270431,250.02060877304564,192.733064010483,0.01446926464162964,7.574542597413059e-4,468.6510792915565,6.689592108440756e-5,911.4200456899076,0.04299753405333726,0.0014264134705853813,18629968.08228435,712.5899140764257,574.1909769321702,5.833640876397872,1.2716859652044559,1657.9949710401704,0.46710676157938774,2545.348295651948,19.33457977440896,2.50359461971271,18632920.43058
